,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
188,frozenset({'经济社会'}),"frozenset({'数字', '技术'})",0.06896551724137931,0.06896551724137931,0.06896551724137931,1.0,14.5,0.06420927467300833,inf
211,frozenset({'经济社会'}),"frozenset({'数字', '技术', '区块'})",0.06896551724137931,0.06896551724137931,0.06896551724137931,1.0,14.5,0.06420927467300833,inf
80,"frozenset({'变革', '科技', '发展'})","frozenset({'新一轮', '治理'})",0.06896551724137931,0.06896551724137931,0.06896551724137931,1.0,14.5,0.06420927467300833,inf
217,"frozenset({'数字', '区块'})","frozenset({'经济社会', '发展'})",0.06896551724137931,0.06896551724137931,0.06896551724137931,1.0,14.5,0.06420927467300833,inf
78,"frozenset({'变革', '发展', '治理'})","frozenset({'新一轮', '科技'})",0.06896551724137931,0.06896551724137931,0.06896551724137931,1.0,14.5,0.06420927467300833,inf
77,"frozenset({'新一轮', '变革', '科技'})","frozenset({'发展', '治理'})",0.06896551724137931,0.06896551724137931,0.06896551724137931,1.0,14.5,0.06420927467300833,inf
76,"frozenset({'新一轮', '科技', '治理'})","frozenset({'变革', '发展'})",0.06896551724137931,0.06896551724137931,0.06896551724137931,1.0,14.5,0.06420927467300833,inf
74,"frozenset({'新一轮', '科技', '发展'})","frozenset({'变革', '治理'})",0.06896551724137931,0.06896551724137931,0.06896551724137931,1.0,14.5,0.06420927467300833,inf
73,"frozenset({'新一轮', '变革', '发展'})","frozenset({'科技', '治理'})",0.06896551724137931,0.06896551724137931,0.06896551724137931,1.0,14.5,0.06420927467300833,inf
72,"frozenset({'新一轮', '发展', '治理'})","frozenset({'变革', '科技'})",0.06896551724137931,0.06896551724137931,0.06896551724137931,1.0,14.5,0.06420927467300833,inf
216,"frozenset({'数字', '发展'})","frozenset({'区块', '经济社会'})",0.06896551724137931,0.06896551724137931,0.06896551724137931,1.0,14.5,0.06420927467300833,inf
212,"frozenset({'数字', '区块', '发展'})",frozenset({'经济社会'}),0.06896551724137931,0.06896551724137931,0.06896551724137931,1.0,14.5,0.06420927467300833,inf
66,"frozenset({'发展', '治理'})","frozenset({'新一轮', '科技'})",0.06896551724137931,0.06896551724137931,0.06896551724137931,1.0,14.5,0.06420927467300833,inf
82,"frozenset({'新一轮', '发展'})","frozenset({'变革', '科技', '治理'})",0.06896551724137931,0.06896551724137931,0.06896551724137931,1.0,14.5,0.06420927467300833,inf
