原句,分词,词频,关键词(TF-IDF),关键词(TextRank),关键词(我们的方法)
60年来，几代核工业人艰苦创业、开拓创新，推动我国核工业从无到有、从小到大，取得了世人瞩目的成就，为国家安全和经济建设作出了突出贡献。核工业是高科技战略产业，是国家安全重要基石。要坚持安全发展、创新发展，坚持和平利用核能，全面提升核工业的核心竞争力，续写我国核工业新的辉煌篇章。,核工业,5,核工业,核工业,创新
,安全,3,安全,安全,发展
,我国,2,60,60,建设
,坚持,2,坚持,坚持,经济
,国家,2,开拓创新,开拓创新,国家
,发展,2,艰苦创业,艰苦创业,推动
,高科技,1,续写,续写,我国
,重要,1,和平利用,和平利用,产业
,辉煌,1,从无到有,从无到有,战略
,艰苦创业,1,我国,我国,重要
,续写,1,从小到大,从小到大,坚持
,经济,1,篇章,篇章,提升
,篇章,1,几代,几代,全面
,竞争力,1,突出贡献,突出贡献,取得
,突出贡献,1,基石,基石,安全
,瞩目,1,,,
,核能,1,,,
,核心,1,,,
,提升,1,,,
,推动,1,,,
,战略,1,,,
,成就,1,,,
,开拓创新,1,,,
,建设,1,,,
,年来,1,,,
,基石,1,,,
,和平利用,1,,,
,取得,1,,,
,创新,1,,,
,几代,1,,,
,全面,1,,,
,作出,1,,,
,从无到有,1,,,
,从小到大,1,,,
,产业,1,,,
,世人,1,,,
,60,1,,,
