原句,分词,词频,关键词(TF-IDF),关键词(TextRank),关键词(我们的方法)
16世纪以来，人类社会进入前所未有的创新活跃期，几百年里，人类在科学技术方面取得的创新成果超过过去几千年的总和。特别是18世纪以来，世界发生了几次重大科技革命，如近代物理学诞生、蒸汽机和机械、电力和运输、相对论和量子论、电子和信息技术发展等。在此带动下，世界经济发生多次产业革命，如机械化、电气化、自动化、信息化。每一次科技和产业革命都深刻改变了世界发展面貌和格局。一些国家抓住了机遇，经济社会发展驶入快车道，经济实力、科技实力、军事实力迅速增强，甚至一跃成为世界强国。发端于英国的第一次产业革命，使英国走上了世界霸主地位；美国抓住了第二次产业革命机遇，赶超英国成为世界第一。从第二次产业革命以来，美国就占据世界第一的位置，这是因为美国在科技和产业革命中都是领航者和最大获利者。,世界,7,产业革命,产业革命,创新
,产业革命,6,世界,世界,科技
,科技,4,科技,科技,发展
,英国,3,英国,英国,经济
,美国,3,机遇,机遇,国家
,发展,3,以来,以来,世界
,以来,3,抓住,抓住,社会
,经济,2,第二次,第二次,重大
,第二次,2,实力,实力,人类
,第一,2,美国,美国,科学技术
,机遇,2,16,16,成为
,抓住,2,18,18,成果
,成为,2,领航者,领航者,方面
,实力,2,创新,创新,增强
,发生,2,人类,人类,取得
,创新,2,,,
,人类,2,,,
,世纪,2,,,
,驶入,1,,,
,领航者,1,,,
,革命,1,,,
,面貌,1,,,
,霸主,1,,,
,量子论,1,,,
,重大,1,,,
,进入,1,,,
,近代,1,,,
,运输,1,,,
,过去,1,,,
,迅速,1,,,
,超过,1,,,
,赶超,1,,,
,走上,1,,,
,诞生,1,,,
,蒸汽机,1,,,
,获利,1,,,
,自动化,1,,,
,经济社会,1,,,
,第一次,1,,,
,科学技术,1,,,
,社会,1,,,
,相对论,1,,,
,电气化,1,,,
,电子,1,,,
,电力,1,,,
,甚至,1,,,
,特别,1,,,
,物理学,1,,,
,深刻,1,,,
,活跃期,1,,,
,格局,1,,,
,机械化,1,,,
,机械,1,,,
,最大,1,,,
,是因为,1,,,
,方面,1,,,
,改变,1,,,
,成果,1,,,
,总和,1,,,
,快车道,1,,,
,强国,1,,,
,带动,1,,,
,多次,1,,,
,增强,1,,,
,地位,1,,,
,国家,1,,,
,取得,1,,,
,发端,1,,,
,占据,1,,,
,前所未有,1,,,
,几百年,1,,,
,几次,1,,,
,几千年,1,,,
,军事实力,1,,,
,信息技术,1,,,
,信息化,1,,,
,位置,1,,,
,一跃,1,,,
,一次,1,,,
,一些,1,,,
,18,1,,,
,16,1,,,
,,,,,
20多年来，我国互联网发展取得的显著成就中，包括一批技术方面的成就。目前，在世界互联网企业前10强中，我们占了4席。在第二届世界互联网大会期间，我去看了“互联网之光”博览会，来自全球的250多家企业展出的1000多项新技术新成果中，我们也占了不少，这令人高兴。同时，我们也要看到，同世界先进水平相比，同建设网络强国战略目标相比，我们在很多方面还有不小差距，特别是在互联网创新能力、基础设施建设、信息资源共享、产业实力等方面还存在不小差距，其中最大的差距在核心技术上。,互联网,5,互联网,互联网,发展
,我们,4,差距,差距,技术
,方面,3,不小,不小,建设
,差距,3,我们,我们,我国
,世界,3,世界,世界,产业
,相比,2,成就,成就,我们
,技术,2,方面,方面,世界
,成就,2,20,20,企业
,建设,2,10,10,全球
,企业,2,强中,强中,核心技术
,不小,2,250,250,成果
,还有,1,1000,1000,创新能力
,资源共享,1,令人高兴,令人高兴,水平
