原句,分词,词频,关键词(TF-IDF),关键词(TextRank),关键词(我们的方法)
实践告诉我们，伟大事业都基于创新。创新决定未来。建设世界科技强国，不是一片坦途，唯有创新才能抢占先机。这次任务实现了多项创新，填补系列国际国内空白，充分体现了自主创新要敢下先手棋、善打主动仗的精神。我们要深刻把握世界科技发展大势，弘扬科学精神，瞄准战略性、基础性、前沿性领域，坚持补齐短板、跟踪发展、超前布局同步推进，努力实现关键核心技术重大突破，提升国家创新体系整体效能，不断增强科技实力和创新能力，努力在世界高技术领域占有重要一席之地。,创新,6,创新,创新,创新
,科技,3,科技,科技,科技
,世界,3,前沿性,前沿性,发展
,领域,2,世界,世界,建设
,精神,2,主动仗,主动仗,国家
,我们,2,要敢,要敢,我们
,发展,2,先手棋,先手棋,科学
,高技术,1,精神,精神,领域
,重要,1,伟大事业,伟大事业,世界
,重大突破,1,坦途,坦途,国际
,这次,1,领域,领域,自主
,跟踪,1,补齐,补齐,重要
,超前,1,短板,短板,实现
,要敢,1,一席之地,一席之地,体系
,补齐,1,重大突破,重大突破,关键
,自主,1,,,
,系列,1,,,
,空白,1,,,
,科学,1,,,
,短板,1,,,
,瞄准,1,,,
,深刻,1,,,
,核心技术,1,,,
,未来,1,,,
,整体,1,,,
,效能,1,,,
,提升,1,,,
,推进,1,,,
,抢占,1,,,
,把握,1,,,
,才能,1,,,
,战略性,1,,,
,强国,1,,,
,弘扬,1,,,
,建设,1,,,
,布局,1,,,
,实践,1,,,
,实现,1,,,
,实力,1,,,
,大势,1,,,
,多项,1,,,
,增强,1,,,
,填补,1,,,
,基础性,1,,,
,基于,1,,,
,坦途,1,,,
,坚持,1,,,
,国际,1,,,
,国家,1,,,
,国内,1,,,
,唯有,1,,,
,告诉,1,,,
,同步,1,,,
,占有,1,,,
,努力实现,1,,,
,努力,1,,,
,前沿性,1,,,
,创新能力,1,,,
,决定,1,,,
,关键,1,,,
,先机,1,,,
,先手棋,1,,,
,充分体现,1,,,
,体系,1,,,
,伟大事业,1,,,
,任务,1,,,
,主动仗,1,,,
,不是,1,,,
,不断,1,,,
,一片,1,,,
,一席之地,1,,,
,,,,,
要坚持问题导向，解放思想，通过全面深化改革开放，给创新创业创造以更好的环境，着力解决影响创新创业创造的突出体制机制问题，营造鼓励创新创业创造的社会氛围，特别是要为中小企业、年轻人发展提供有利条件，为高技术企业成长建立加速机制。,创造,3,创业,创业,创新
