原句,分词,词频,关键词(TF-IDF),关键词(TextRank),关键词(我们的方法)
要加强高标准农田、农田水利、农业机械化等现代农业基础设施建设，提升农业科技创新水平并加快推广使用，增强粮食生产能力和防灾减灾能力。,农业,2,减灾,减灾,创新
,高标准,1,农业,农业,科技
,防灾,1,防灾,防灾,建设
,能力,1,高标准,高标准,加快
,粮食,1,现代农业,现代农业,加强
,科技,1,农田水利,农田水利,农业
,生产能力,1,生产能力,生产能力,提升
,现代农业,1,农田,农田,能力
,水平,1,机械化,机械化,水平
,机械化,1,基础设施,基础设施,增强
,提升,1,推广,推广,基础设施
,推广,1,粮食,粮食,推广
,建设,1,科技,科技,使用
,增强,1,加快,加快,现代农业
,基础设施,1,增强,增强,高标准
,加快,1,,,
,加强,1,,,
,创新,1,,,
,减灾,1,,,
,农田水利,1,,,
,农田,1,,,
,使用,1,,,
,,,,,
要抓住产业数字化、数字产业化赋予的机遇，加快5G网络、数据中心等新型基础设施建设，抓紧布局数字经济、生命健康、新材料等战略性新兴产业、未来产业，大力推进科技创新，着力壮大新增长点、形成发展新动能。,数字,2,数字,数字,创新
,产业,2,5G,5G,科技
,赋予,1,产业,产业,发展
,网络,1,数据中心,数据中心,建设
,经济,1,数字化,数字化,经济
,科技,1,抓紧,抓紧,加快
,着力,1,壮大,壮大,产业
,生命,1,产业化,产业化,数字
,材料,1,增长点,增长点,推进
,机遇,1,战略性,战略性,形成
,未来,1,新兴产业,新兴产业,健康
,新型,1,动能,动能,机遇
,新兴产业,1,赋予,赋予,大力
,数据中心,1,着力,着力,未来
,数字化,1,机遇,机遇,动能
,推进,1,,,
,抓紧,1,,,
,抓住,1,,,
,战略性,1,,,
,形成,1,,,
,建设,1,,,
,布局,1,,,
,大力,1,,,
,壮大,1,,,
,增长点,1,,,
,基础设施,1,,,
,发展,1,,,
,动能,1,,,
,加快,1,,,
,创新,1,,,
,健康,1,,,
,产业化,1,,,
,5G,1,,,
,,,,,
现在，全国都在复工复产，我们不应该也不可能再简单重复过去的模式，而应该努力重塑新的产业链，全面加大科技创新和进口替代力度，这是深化供给侧结构性改革的重点，也是实现高质量发展的关键。一是要拉长长板，巩固提升优势产业的国际领先地位，锻造一些“杀手锏”技术，持续增强高铁、电力装备、新能源、通信设备等领域的全产业链优势，提升产业质量，拉紧国际产业链对我国的依存关系，形成对外方人为断供的强有力反制和威慑能力。二是要补齐短板，就是要在关系国家安全的领域和节点构建自主可控、安全可靠的国内生产供应体系，在关键时刻可以做到自我循环，确保在极端情况下经济正常运转。,产业链,3,产业链,产业链,创新
,领域,2,长板,长板,科技
,提升,2,复产,复产,发展
,应该,2,断供,断供,技术
,国际,2,依存关系,依存关系,经济
,高铁,1,提升,提升,国家
,高质量,1,优势产业,优势产业,我国
,领先地位,1,拉紧,拉紧,产业
,长板,1,领域,领域,我们
,锻造,1,补齐,补齐,领域
,重点,1,短板,短板,国际
,重复,1,复工,复工,自主
,重塑,1,反制,反制,实现
,通信,1,安全可靠,安全可靠,体系
,进口,1,锻造,锻造,关键
,这是,1,,,
,运转,1,,,
,过去,1,,,
,质量,1,,,
,设备,1,,,
,装备,1,,,
,补齐,1,,,
,节点,1,,,
,自我,1,,,
,自主,1,,,
,能力,1,,,
,结构性,1,,,
,经济,1,,,
,简单,1,,,
,科技,1,,,
,确保,1,,,
,短板,1,,,
,电力,1,,,
,生产,1,,,
,现在,1,,,
,深化,1,,,
,正常,1,,,
,模式,1,,,
,构建,1,,,
,极端,1,,,
,杀手锏,1,,,
,替代,1,,,
,新能源,1,,,
,断供,1,,,
,改革,1,,,
,持续,1,,,
,拉长,1,,,
,拉紧,1,,,
,技术,1,,,
,我国,1,,,
,我们,1,,,
,情况,1,,,
,循环,1,,,
,形成,1,,,
,强有力,1,,,
,巩固,1,,,
,就是,1,,,
,对外,1,,,
,实现,1,,,
,安全可靠,1,,,
,安全,1,,,
,威慑,1,,,
,复工,1,,,
,复产,1,,,
,增强,1,,,
,国家,1,,,
,国内,1,,,
,可能,1,,,
,可控,1,,,
,可以,1,,,
,发展,1,,,
,反制,1,,,
,努力,1,,,
,加大,1,,,
,力度,1,,,
,创新,1,,,
,关键时刻,1,,,
,关键,1,,,
,关系,1,,,
,全面,1,,,
,全国,1,,,
,做到,1,,,
,依存关系,1,,,
,供给,1,,,
,供应,1,,,
,体系,1,,,
,优势产业,1,,,
,优势,1,,,
,人为,1,,,
,产业,1,,,
,二是,1,,,
,一是,1,,,
,一些,1,,,
,,,,,
调整优化科技投入和产出结构。这次疫情防控对我国科技界是一次真刀真枪的检验。科技战线既显了身手，也露了短板。要优化科技资源布局，提升科技创新能力，走出一条符合我国国情的科技研发道路。,科技,4,科技,科技,科技
,我国,2,优化,优化,我国
,优化,2,科技战线,科技战线,资源
,防控,1,既显,既显,提升
,道路,1,真刀真枪,真刀真枪,创新能力
,这次,1,短板,短板,研发
,身手,1,科技界,科技界,投入
,走出,1,我国,我国,优化
,资源,1,身手,身手,疫情
,调整,1,国情,国情,布局
,结构,1,创新能力,创新能力,科技界
,符合,1,防控,防控,防控
,科技界,1,疫情,疫情,结构
,科技战线,1,产出,产出,短板
,研发,1,检验,检验,道路
,短板,1,,,
,真刀真枪,1,,,
,疫情,1,,,
,检验,1,,,
,既显,1,,,
,提升,1,,,
,投入,1,,,
,布局,1,,,
,国情,1,,,
,创新能力,1,,,
,产出,1,,,
,一次,1,,,
,一条,1,,,
,,,,,
科技发展要坚持问题导向、目标导向。保障人民生命安全和身体健康是党和国家的重要任务，科学研究要从中凝练重大科学前沿和重大攻关课题。要更加重视遗传学、基因学、病毒学、流行病学、免疫学等生命科学的基础研究，加快相关药物疫苗的研发和技术创新，高度重视信息和大数据技术在这些领域的应用。要重视顶层设计，优化基础研究布局，做强优势领域，完善高校专业设置，加强基础学科教育和人才培养，补上冷门短板，把我国基础研究体系逐步壮大起来，努力多出“从0到1”的原创性成果。,研究,3,导向,导向,科技
,基础,3,基础,基础,发展
,领域,2,基因学,基因学,技术
,重视,2,研究,研究,加快
,重大,2,原创性,原创性,我国
,导向,2,重视,重视,加强
,高校,1,做强,做强,科学
,高度重视,1,病毒学,病毒学,领域
,顶层,1,领域,领域,研究
,问题,1,重大,重大,重要
,重要,1,凝练,凝练,基础
,遗传学,1,基础学科,基础学科,体系
,逐步,1,短板,短板,重大
,这些,1,流行病学,流行病学,坚持
,身体健康,1,生命安全,生命安全,优势
,起来,1,,,
,课题,1,,,
,设计,1,,,
,设置,1,,,
,药物,1,,,
,科技,1,,,
,科学研究,1,,,
,科学,1,,,
,研发,1,,,
,短板,1,,,
,相关,1,,,
,目标,1,,,
,病毒学,1,,,
,疫苗,1,,,
,生命科学,1,,,
,生命安全,1,,,
,流行病学,1,,,
,更加,1,,,
,数据,1,,,
,教育,1,,,
,攻关,1,,,
,技术创新,1,,,
,技术,1,,,
,我国,1,,,
,成果,1,,,
,应用,1,,,
,布局,1,,,
,完善,1,,,
,多出,1,,,
,壮大,1,,,
,基础学科,1,,,
,基因学,1,,,
,坚持,1,,,
,发展,1,,,
,原创性,1,,,
,努力,1,,,
,加快,1,,,
,加强,1,,,
,前沿,1,,,
,凝练,1,,,
,冷门,1,,,
,党和国家,1,,,
,免疫学,1,,,
,做强,1,,,
,信息,1,,,
,保障,1,,,
,体系,1,,,
,优化,1,,,
,优势,1,,,
,任务,1,,,
,从中,1,,,
,人民,1,,,
,人才培养,1,,,
,专业,1,,,
,,,,,
在这次疫情防控中，形成了不少产学研相结合的典范，值得认真总结。要创新科技成果转化机制，发挥企业主体作用和政府统筹作用，促进资金、技术、应用、市场等要素对接，努力解决基础研究“最先一公里”和成果转化、市场应用“最后一公里”有机衔接问题，打通产学研创新链、价值链。,转化,2,产学研,产学研,创新
,应用,2,转化,转化,技术
,市场,2,公里,公里,企业
,创新,2,主体作用,主体作用,研究
,公里,2,创新,创新,基础
,产学研,2,应用,应用,发挥
,防控,1,科技成果,科技成果,促进
,问题,1,价值链,价值链,问题
,这次,1,认真总结,认真总结,作用
,资金,1,典范,典范,形成
,认真总结,1,打通,打通,应用
,解决,1,防控,防控,成果
,要素,1,对接,对接,努力
,衔接,1,衔接,衔接,机制
,统筹,1,统筹,统筹,转化
,科技成果,1,,,
,研究,1,,,
,相结合,1,,,
,疫情,1,,,
,机制,1,,,
,有机,1,,,
,最后,1,,,
,最先,1,,,
,政府,1,,,
,技术,1,,,
,打通,1,,,
,成果,1,,,
,形成,1,,,
,对接,1,,,
,基础,1,,,
,发挥,1,,,
,努力,1,,,
,典范,1,,,
,值得,1,,,
,促进,1,,,
,作用,1,,,
,企业,1,,,
,价值链,1,,,
,主体作用,1,,,
,不少,1,,,
,,,,,
我们紧紧依靠科技进步，不到一周时间就确定了新冠病毒的全基因组序列并分离得到病毒毒株，及时推出多种检测试剂产品，迅速筛选了一批有效药物和治疗方案，多条技术路线的疫苗研发进入临床试验阶段。,病毒,2,病毒,病毒,技术
,阶段,1,新冠,新冠,我们
,进入,1,毒株,毒株,研发
,迅速,1,基因组,基因组,一批
,路线,1,临床试验,临床试验,依靠
,试剂,1,科技进步,科技进步,科技进步
,药物,1,试剂,试剂,产品
,紧紧,1,筛选,筛选,进入
,筛选,1,序列,序列,有效
,科技进步,1,多条,多条,新冠
,确定,1,疫苗,疫苗,疫苗
,研发,1,路线,路线,阶段
,疫苗,1,检测,检测,药物
,治疗,1,研发,研发,得到
,毒株,1,紧紧,紧紧,时间
,检测,1,,,
,有效,1,,,
,时间,1,,,
,方案,1,,,
,新冠,1,,,
,推出,1,,,
,技术,1,,,
,我们,1,,,
,得到,1,,,
,序列,1,,,
,多种,1,,,
,多条,1,,,
,基因组,1,,,
,及时,1,,,
,分离,1,,,
,依靠,1,,,
,产品,1,,,
,临床试验,1,,,
,不到,1,,,
,一批,1,,,
,一周,1,,,
,,,,,
产品和技术是企业安身立命之本。希望企业在科技创新上再接再厉、勇攀高峰，在支撑先进制造业发展方面迈出新的更大步伐。,企业,2,勇攀高峰,勇攀高峰,创新
,迈出,1,安身立命,安身立命,科技
,科技,1,再接再厉,再接再厉,发展
,步伐,1,企业,企业,技术
,方面,1,迈出,迈出,企业
,支撑,1,步伐,步伐,支撑
,技术,1,制造业,制造业,方面
,希望,1,先进,先进,希望
,安身立命,1,科技,科技,先进
,发展,1,支撑,支撑,产品
,勇攀高峰,1,创新,创新,制造业
,制造业,1,希望,希望,勇攀高峰
,创新,1,技术,技术,步伐
,再接再厉,1,产品,产品,再接再厉
,先进,1,方面,方面,迈出
,产品,1,,,
,,,,,
要更加及时有效解决企业恢复生产经营面临的各种困难和问题，把扩大内需各项政策举措抓实，把实体经济特别是制造业做强做优，发挥重大投资项目带动作用，落实好能源革命综合改革试点要求，持续推动产业结构调整优化，实施一批变革性、牵引性、标志性举措，大力加强科技创新，在新基建、新技术、新材料、新装备、新产品、新业态上不断取得突破，持续在国企国资、财税金融、营商环境、民营经济、扩大内需、城乡融合等重点改革领域攻坚克难，健全对外开放体制机制，奋发有为推进高质量发展。,经济,2,扩大内需,扩大内需,创新
,改革,2,举措,举措,科技
,持续,2,牵引性,牵引性,发展
,扩大内需,2,攻坚克难,攻坚克难,技术
,举措,2,抓实,抓实,经济
,高质量,1,做强,做强,推动
,领域,1,变革性,变革性,产业
,项目,1,营商,营商,领域
,革命,1,奋发有为,奋发有为,企业
,面临,1,改革,改革,推进
,问题,1,大力加强,大力加强,重大
,金融,1,持续,持续,发挥
,重点,1,各项政策,各项政策,突破
,重大,1,业态,业态,问题
,财税,1,财税,财税,作用
,试点,1,,,
,解决,1,,,
,要求,1,,,
,装备,1,,,
,融合,1,,,
,落实,1,,,
,营商,1,,,
,能源,1,,,
,综合,1,,,
,结构调整,1,,,
,经营,1,,,
,突破,1,,,
,科技,1,,,
,生产,1,,,
,环境,1,,,
,特别,1,,,
,牵引性,1,,,
,民营,1,,,
,标志性,1,,,
,材料,1,,,
,机制,1,,,
,有效,1,,,
,更加,1,,,
,攻坚克难,1,,,
,推进,1,,,
,推动,1,,,
,投资,1,,,
,抓实,1,,,
,技术,1,,,
,恢复,1,,,
,带动,1,,,
,对外开放,1,,,
,实施,1,,,
,实体,1,,,
,奋发有为,1,,,
,大力加强,1,,,
,基建,1,,,
,城乡,1,,,
,国资,1,,,
,国企,1,,,
,困难,1,,,
,各项政策,1,,,
,各种,1,,,
,变革性,1,,,
,取得,1,,,
,发挥,1,,,
