原句,分词,词频,关键词(TF-IDF),关键词(TextRank),关键词(我们的方法)
劳动力成本在逐步上升，资源环境承载能力达到了瓶颈，旧的生产函数组合方式已经难以持续，科学技术的重要性全面上升。在这种情况下，我们必须更强调自主创新。因此，在“十四五”规划《建议》中，第一条重大举措就是科技创新，第二条就是突破产业瓶颈。我们必须把这个问题放在能不能生存和发展的高度加以认识，全面加强对科技创新的部署，集合优势资源，有力有序推进创新攻关的“揭榜挂帅”体制机制，加强创新链和产业链对接，明确路线图、时间表、责任制，适合部门和地方政府牵头的要牵好头，适合企业牵头的政府要全力支持。中央企业等国有企业要勇挑重担、敢打头阵，勇当原创技术的“策源地”、现代产业链的“链长”。,创新,5,创新,创新,创新
,适合,2,牵头,牵头,科技
,资源,2,瓶颈,瓶颈,发展
,科技,2,产业链,产业链,技术
,瓶颈,2,链长,链长,加强
,牵头,2,适合,适合,产业
,政府,2,勇挑重担,勇挑重担,我们
,我们,2,不能生存,不能生存,企业
,必须,2,勇当,勇当,自主
,就是,2,十四五,十四五,推进
,加强,2,揭榜,揭榜,重大
,全面,2,科技,科技,优势
,企业,2,全面,全面,突破
,产业链,2,打头阵,打头阵,资源
,上升,2,资源,资源,问题
,高度,1,,,
,集合,1,,,
,难以,1,,,
,问题,1,,,
,链长,1,,,
,重要性,1,,,
,重大,1,,,
,部门,1,,,
,部署,1,,,
,逐步,1,,,
,这种,1,,,
,这个,1,,,
,达到,1,,,
,路线图,1,,,
,责任制,1,,,
,认识,1,,,
,规划,1,,,
,自主,1,,,
,组合,1,,,
,策源地,1,,,
,第二条,1,,,
,第一条,1,,,
,突破,1,,,
,科学技术,1,,,
,生产,1,,,
,现代,1,,,
,环境,1,,,
,机制,1,,,
,有序,1,,,
,有力,1,,,
,明确,1,,,
,时间表,1,,,
,方式,1,,,
,放在,1,,,
,攻关,1,,,
,揭榜,1,,,
,推进,1,,,
,挂帅,1,,,
,持续,1,,,
,技术,1,,,
,承载能力,1,,,
,打头阵,1,,,
,成本,1,,,
,情况,1,,,
,强调,1,,,
,建议,1,,,
,已经,1,,,
,对接,1,,,
,好头,1,,,
,地方,1,,,
