原句,分词,词频,关键词(TF-IDF),关键词(TextRank),关键词(我们的方法)
要抓住科技创新这个牛鼻子，把部队科技含量充分释放出来，把科技优势转化为能力优势、作战优势。,优势,3,优势,优势,创新
,科技,2,科技,科技,科技
,释放出来,1,牛鼻子,牛鼻子,优势
,部队,1,科技含量,科技含量,能力
,这个,1,释放出来,释放出来,转化
,转化,1,抓住,抓住,抓住
,能力,1,转化,转化,这个
,科技含量,1,充分,充分,充分
,牛鼻子,1,创新,创新,作战
,抓住,1,作战,作战,科技含量
,创新,1,部队,部队,牛鼻子
,充分,1,能力,能力,释放出来
,作战,1,这个,这个,部队
,,,,,
要加强数字化部队作战研究，创新作战概念和战法，大抓实战化军事训练，不断提高训练水平和打赢能力。要强化体系建设，统筹加强各种力量、各个系统、各类要素建设，加强信息系统和作战数据建设，确保成体系形成作战能力，有机融入全军联合作战体系。要强化改革创新，优化编成结构，加强科技运用，增强官兵科技素养，积极推进创新型人民军队实践探索。,加强,4,作战,作战,创新
,作战,4,加强,加强,科技
,建设,3,体系,体系,建设
,体系,3,建设,建设,加强
,能力,2,强化,强化,研究
,科技,2,各个系统,各个系统,体系
,强化,2,科技,科技,推进
,创新,2,创新,创新,提高
,部队,1,能力,能力,形成
,运用,1,联合作战,联合作战,能力
,训练,1,打赢,打赢,不断
,要素,1,战法,战法,积极
,融入,1,素养,素养,水平
,联合作战,1,军事训练,军事训练,增强
,编成,1,人民军队,人民军队,改革
,统筹,1,,,
,结构,1,,,
,素养,1,,,
,积极,1,,,
,确保,1,,,
,研究,1,,,
,水平,1,,,
,概念,1,,,
,有机,1,,,
,数据,1,,,
,数字化,1,,,
,改革,1,,,
,提高,1,,,
,推进,1,,,
,探索,1,,,
,打赢,1,,,
,战法,1,,,
,形成,1,,,
,实践,1,,,
,实战,1,,,
,官兵,1,,,
,增强,1,,,
,各类,1,,,
,各种,1,,,
,各个系统,1,,,
,力量,1,,,
,创新型,1,,,
,军事训练,1,,,
,全军,1,,,
,信息系统,1,,,
,优化,1,,,
,人民军队,1,,,
,不断,1,,,
,,,,,
要建设创新引领、协同发展的产业体系，实现实体经济、科技创新、现代金融、人力资源协同发展，使科技创新在实体经济发展中的贡献份额不断提高，现代金融服务实体经济的能力不断增强，人力资源支撑实体经济发展的作用不断优化。,经济,4,实体,实体,创新
,实体,4,创新,创新,科技
,发展,4,人力资源,人力资源,发展
,创新,3,协同,协同,建设
,不断,3,不断,不断,经济
,科技,2,发展,发展,产业
,现代,2,经济,经济,实现
,协同,2,科技,科技,体系
,人力资源,2,现代,现代,提高
,金融服务,1,金融服务,金融服务,作用
,金融,1,引领,引领,能力
,贡献,1,份额,份额,不断
,能力,1,优化,优化,支撑
,支撑,1,贡献,贡献,增强
,提高,1,体系,体系,现代
,引领,1,,,
,建设,1,,,
,实现,1,,,
,增强,1,,,
,作用,1,,,
,体系,1,,,
,优化,1,,,
,份额,1,,,
,产业,1,,,
,,,,,
加快实施创新驱动发展战略，强化现代化经济体系的战略支撑，加强国家创新体系建设，强化战略科技力量，推动科技创新和经济社会发展深度融合，塑造更多依靠创新驱动、更多发挥先发优势的引领型发展。,创新,4,创新,创新,创新
,战略,3,战略,战略,科技
,发展,3,驱动,驱动,发展
,驱动,2,强化,强化,建设
,科技,2,科技,科技,经济
,强化,2,体系,体系,国家
,体系,2,发展,发展,推动
,融合,1,先发,先发,加快
,经济社会,1,塑造,塑造,加强
,经济,1,经济社会,经济社会,战略
,现代化,1,引领,引领,体系
,深度,1,融合,融合,发挥
,支撑,1,深度,深度,优势
,推动,1,现代化,现代化,融合
,引领,1,依靠,依靠,支撑
,建设,1,,,
,实施,1,,,
,塑造,1,,,
,国家,1,,,
,发挥,1,,,
,加快,1,,,
,加强,1,,,
,力量,1,,,
,先发,1,,,
,依靠,1,,,
,优势,1,,,
,,,,,
科技创新是建设现代化产业体系的战略支撑。要着眼国家战略需求，主动承接国家重大科技项目，引进国内外顶尖科技人才，加强对中小企业创新支持，培育更多具有自主知识产权和核心竞争力的创新型企业。,科技,2,科技,科技,创新
,战略,2,战略,战略,科技
,国家,2,创新,创新,建设
,创新,2,科技人才,科技人才,国家
,项目,1,顶尖,顶尖,加强
,顶尖,1,创新型,创新型,产业
,需求,1,知识产权,知识产权,战略
,重大,1,承接,承接,企业
,自主,1,国家,国家,自主
,竞争力,1,着眼,着眼,体系
,科技人才,1,培育,培育,重大
,知识产权,1,引进,引进,支持
,着眼,1,竞争力,竞争力,支撑
,现代化,1,中小企业,中小企业,具有
,核心,1,国内外,国内外,现代化
,支撑,1,,,
,支持,1,,,
,承接,1,,,
,引进,1,,,
,建设,1,,,
,培育,1,,,
,国内外,1,,,
,加强,1,,,
,创新型,1,,,
,具有,1,,,
,体系,1,,,
,企业,1,,,
,产业,1,,,
,主动,1,,,
,中小企业,1,,,
,,,,,
要加强国防科技创新，加快建设军民融合创新体系，大力提高国防科技自主创新能力，加大先进科技成果转化运用力度，推动我军建设向质量效能型和科技密集型转变。要密切关注世界军事科技和武器装备发展动向，突出抓好重点领域军民科技协同创新，推动重大科技项目一体论证和实施，努力抢占科技创新战略制高点。要强化开放共享观念，坚决打破封闭垄断，加强科技创新资源优化配置，挖掘全社会科技创新潜力，形成国防科技创新百舸争流、千帆竞发的生动局面。,科技,7,科技,科技,创新
,创新,7,创新,创新,科技
,国防科技,3,国防科技,国防科技,发展
,推动,2,军民,军民,建设
,建设,2,百舸争流,百舸争流,推动
,加强,2,千帆竞发,千帆竞发,加快
,军民,2,效能型,效能型,加强
,领域,1,大力提高,大力提高,领域
,项目,1,加强,加强,世界
,重点,1,推动,推动,战略
,重大,1,科技成果,科技成果,自主
,配置,1,建设,建设,体系
,运用,1,密集型,密集型,社会
,转变,1,制高点,制高点,重大
,转化,1,创新能力,创新能力,资源
,资源,1,,,
,质量,1,,,
