原句,分词,词频,关键词(TF-IDF),关键词(TextRank),关键词(我们的方法)
今后一个时期，我省要按照科学发展观的要求，全面贯彻中央提出的“自主创新、重点跨越、支撑发展、引领未来”的方针，以增强自主创新能力，打造开放型区域创新体系为中心任务，强化自主创新意识，完善创新体制机制，培养引进创新人才，优化创新发展环境，加快创新型省份建设，让自主创新成为解决资源要素环境制约的根本途径，成为促进产业升级、提高企业和产品竞争力的重要支撑，成为推进科技进步、建设科技强省的核心内容，成为抓住战略机遇期、争取发展主动权的重大战略。,创新,7,创新,创新,创新
,自主,4,自主,自主,科技
,成为,4,成为,成为,发展
,发展,3,强省,强省,建设
,环境,2,支撑,支撑,加快
,支撑,2,战略,战略,产业
,战略,2,机遇期,机遇期,科学
,建设,2,根本途径,根本途径,人才
,重要,1,开放型,开放型,战略
,重点,1,发展,发展,企业
,重大,1,环境,环境,自主
,跨越,1,核心内容,核心内容,重要
,资源,1,建设,建设,体系
,贯彻,1,科技进步,科技进步,推进
,解决,1,主动权,主动权,重大
,要素,1,,,
,要求,1,,,
,竞争力,1,,,
,科技进步,1,,,
,科技,1,,,
,科学,1,,,
,省份,1,,,
,根本途径,1,,,
,核心内容,1,,,
,机遇期,1,,,
,机制,1,,,
,未来,1,,,
,时期,1,,,
,方针,1,,,
,提高,1,,,
,提出,1,,,
,推进,1,,,
,按照,1,,,
,抓住,1,,,
,打造,1,,,
,我省,1,,,
,意识,1,,,
,强省,1,,,
,强化,1,,,
,引领,1,,,
,引进,1,,,
,开放型,1,,,
,完善,1,,,
,增强,1,,,
,培养,1,,,
,发展观,1,,,
,升级,1,,,
,区域,1,,,
,加快,1,,,
,制约,1,,,
,创新能力,1,,,
,创新型,1,,,
,全面,1,,,
,促进,1,,,
,体系,1,,,
,体制,1,,,
,优化,1,,,
,企业,1,,,
,任务,1,,,
,今后,1,,,
,人才,1,,,
,产品,1,,,
,产业,1,,,
,争取,1,,,
,主动权,1,,,
,中心,1,,,
,中央,1,,,
,一个,1,,,
,,,,,
